cate_id,name,description
1,"Ăn uống","Chi phí bỏ ra để ăn uống"
2,"Giải trí","Chi phí bỏ ra để giải trí"
3,"Mua sắm","Chi phí bỏ ra để mua sắm"
4,"Đi lại","Chi phí bỏ ra để đi lại"
5,"Điện nước","Chi phí bỏ ra để trả tiền điện nước"
6,"Lương","Lương"
7,"Đầu tư","Chi phí bỏ ra để đầu tư"
